soundlevel,date
47.38991012,00:24.2
51.46918914,00:24.3
55.77609136,00:24.4
55.77609136,00:24.5
55.77609136,00:24.6
55.77609136,00:24.7
56.51647236,00:24.8
57.26337649,00:24.9
54.31478435,00:25.0
61.09674558,00:25.1
58.01683237,00:25.2
58.01683237,00:25.3
60.3167966,00:25.4
51.46918914,00:25.5
58.01683237,00:25.6
56.51647236,00:25.7
55.0422049,00:25.8
58.77686861,00:25.9
55.0422049,00:26.0
55.77609136,00:26.1
56.51647236,00:26.2
54.31478435,00:26.3
54.31478435,00:26.4
50.77366903,00:26.5
56.51647236,00:26.6
58.01683237,00:26.7
58.01683237,00:26.8
55.77609136,00:27.0
53.59380111,00:27.0
51.46918914,00:27.1
53.59380111,00:27.3
55.0422049,00:27.3
53.59380111,00:27.4
55.0422049,00:27.6
54.31478435,00:27.6
54.31478435,00:27.7
55.77609136,00:27.8
55.77609136,00:28.0
56.51647236,00:28.0
57.26337649,00:28.1
58.01683237,00:28.2
55.0422049,00:28.4
55.77609136,00:28.5
55.77609136,00:28.6
57.26337649,00:28.7
55.77609136,00:28.8
56.51647236,00:28.9
52.17103212,00:29.0
55.0422049,00:29.1
58.01683237,00:29.1
58.01683237,00:29.3
49.40148296,00:29.4
55.77609136,00:29.5
55.77609136,00:29.6
56.51647236,00:29.7
56.51647236,00:29.8
55.77609136,00:29.9
57.26337649,00:30.0
55.77609136,00:30.1
55.77609136,00:30.2
55.77609136,00:30.3
56.51647236,00:30.4
58.77686861,00:30.5
61.88338936,00:30.6
59.54351382,00:30.7
58.01683237,00:30.8
53.59380111,00:30.9
53.59380111,00:31.0
51.46918914,00:31.1
51.46918914,00:31.2
52.17103212,00:31.3
53.59380111,00:31.4
55.0422049,00:31.5
59.54351382,00:31.6
55.0422049,00:31.7
56.51647236,00:31.8
54.31478435,00:31.9
56.51647236,00:32.0
58.01683237,00:32.1
59.54351382,00:32.2
67.57975347,00:32.3
48.72475979,00:32.4
76.30836135,00:32.5
53.59380111,00:32.6
46.07966526,00:32.7
52.17103212,00:32.8
48.05424505,00:32.9
50.08444317,00:33.0
44.15993134,00:33.1
50.77366903,00:33.2
61.88338936,00:33.3
51.46918914,00:33.4
48.05424505,00:33.5
55.77609136,00:33.6
59.54351382,00:33.7
51.46918914,00:33.8
50.77366903,00:33.9
46.07966526,00:34.0
48.72475979,00:34.1
52.87922657,00:34.2
58.01683237,00:34.3
46.07966526,00:34.4
48.72475979,00:34.5
44.15993134,00:34.6
52.87922657,00:34.7
69.26917006,00:34.8
41.68426674,00:34.9
48.05424505,00:35.0
39.30290156,00:35.1
47.38991012,00:35.2
46.07966526,00:35.3
44.79379634,00:35.4
43.53207448,00:35.5
51.46918914,00:35.6
58.01683237,00:35.7
59.54351382,00:35.8
46.73172639,00:35.9
52.17103212,00:36.0
58.77686861,00:36.1
32.70629187,00:36.2
35.35691295,00:36.4
41.0801564,00:36.4
48.05424505,00:36.5
46.73172639,00:36.6
67.57975347,00:36.7
43.53207448,00:36.9
43.53207448,00:37.0
46.07966526,00:37.1
50.77366903,00:37.1
44.79379634,00:37.2
44.79379634,00:37.4
50.08444317,00:37.5
47.38991012,00:37.6
46.73172639,00:37.6
48.05424505,00:37.8
50.08444317,00:37.9
55.77609136,00:38.0
49.40148296,00:38.0
47.38991012,00:38.2
46.73172639,00:38.3
45.43369811,00:38.4
46.07966526,00:38.4
41.68426674,00:38.6
46.07966526,00:38.7
44.15993134,00:38.8
45.43369811,00:38.9
46.73172639,00:39.0
49.40148296,00:39.1
52.87922657,00:39.2
47.38991012,00:39.3
53.59380111,00:39.4
52.17103212,00:39.5
50.77366903,00:39.6
49.40148296,00:39.7
50.08444317,00:39.8
49.40148296,00:39.9
55.0422049,00:40.0
49.40148296,00:40.1
52.17103212,00:40.2
51.46918914,00:40.3
52.87922657,00:40.4
52.17103212,00:40.5
51.46918914,00:40.6
50.77366903,00:40.7
51.46918914,00:40.8
53.59380111,00:40.9
52.17103212,00:41.0
47.38991012,00:41.1
51.46918914,00:41.2
62.67675655,00:41.3
53.59380111,00:41.4
54.31478435,00:41.5
53.59380111,00:41.6
49.40148296,00:41.7
47.38991012,00:41.8
61.88338936,00:41.9
51.46918914,00:42.0
50.77366903,00:42.1
47.38991012,00:42.2
51.46918914,00:42.3
51.46918914,00:42.4
55.77609136,00:42.5
57.26337649,00:42.6
50.08444317,00:42.7
54.31478435,00:42.8
64.2837756,00:42.9
71.85572324,00:43.0
56.51647236,00:43.1
50.08444317,00:43.2
59.54351382,00:43.3
35.35691295,00:43.4
44.15993134,00:43.5
37.57766016,00:43.6
42.91019717,00:43.7
53.59380111,00:43.8
56.51647236,00:43.9
49.40148296,00:44.0
61.09674558,00:44.1
131.3382829,00:44.2
44.15993134,00:44.3
50.08444317,00:44.4
58.77686861,00:44.5
61.09674558,00:44.6
43.53207448,00:44.7
53.59380111,00:44.8
50.77366903,00:44.9
55.0422049,00:45.0
58.01683237,00:45.1
67.57975347,00:45.2
45.43369811,00:45.3
46.07966526,00:45.4
55.0422049,00:45.5
52.17103212,00:45.6
50.77366903,00:45.8
52.17103212,00:45.9
48.72475979,00:45.9
54.31478435,00:46.0
53.59380111,00:46.1
53.59380111,00:46.3
53.59380111,00:46.4
52.17103212,00:46.4
52.87922657,00:46.5
52.87922657,00:46.7
70.12433541,00:46.8
48.72475979,00:46.8
19.8997735,00:46.9
56.51647236,00:47.1
43.53207448,00:47.2
53.59380111,00:47.2
132.6472928,00:47.4
60.3167966,00:47.5
42.2942708,00:47.6
21.03304008,00:47.6
29.22293112,00:47.8
53.59380111,00:47.9
57.26337649,00:48.0
53.59380111,00:48.0
61.09674558,00:48.2
58.77686861,00:48.3
49.40148296,00:48.4
57.26337649,00:48.5
56.51647236,00:48.6
52.87922657,00:48.7
52.87922657,00:48.8
51.46918914,00:48.9
57.26337649,00:49.0
59.54351382,00:49.1
63.47687576,00:49.2
54.31478435,00:49.3
50.77366903,00:49.4
52.17103212,00:49.5
55.0422049,00:49.6
52.87922657,00:49.7
54.31478435,00:49.8
54.31478435,00:49.9
61.88338936,00:50.0
62.67675655,00:50.1
70.98651026,00:50.2
52.87922657,00:50.3
99.16732232,00:50.4
58.77686861,00:50.5
55.0422049,00:50.6
64.2837756,00:50.7
61.88338936,00:50.8
135.2913478,00:50.9
65.91803161,00:51.0
42.91019717,00:51.1
41.68426674,00:51.2
58.77686861,00:51.3
39.30290156,00:51.4
50.77366903,00:51.5
55.77609136,00:51.6
67.57975347,00:51.7
61.09674558,00:51.8
54.31478435,00:51.9
48.72475979,00:52.0
50.08444317,00:52.1
52.17103212,00:52.2
47.38991012,00:52.3
50.08444317,00:52.4
50.77366903,00:52.5
55.77609136,00:52.6
56.51647236,00:52.7
64.2837756,00:52.8
52.17103212,00:52.9
58.01683237,00:53.0
68.42098562,00:53.1
45.43369811,00:53.2
58.01683237,00:53.3
55.77609136,00:53.4
54.31478435,00:53.5
51.46918914,00:53.6
58.77686861,00:53.7
57.26337649,00:53.8
56.51647236,00:53.9
64.2837756,00:54.0
70.98651026,00:54.1
69.26917006,00:54.2
87.73690008,00:54.3
42.2942708,00:54.4
47.38991012,00:54.5
51.46918914,00:54.6
60.3167966,00:54.7
55.0422049,00:54.8
65.09748468,00:55.0
66.74544501,00:55.0
56.51647236,00:55.1
56.51647236,00:55.2
50.08444317,00:55.4
50.77366903,00:55.4
53.59380111,00:55.5
49.40148296,00:55.6
57.26337649,00:55.8
46.07966526,00:55.9
52.17103212,00:56.0
70.98651026,00:56.0
59.54351382,00:56.2
52.17103212,00:56.3
51.46918914,00:56.4
62.67675655,00:56.4
64.2837756,00:56.6
48.72475979,00:56.7
46.07966526,00:56.7
54.31478435,00:56.9
55.0422049,00:57.0
35.90365973,00:57.1
94.90265837,00:57.1
46.73172639,00:57.2
50.08444317,00:57.4
52.87922657,00:57.5
57.26337649,00:57.6
57.26337649,00:57.7
53.59380111,00:57.8
46.73172639,00:57.9
52.17103212,00:58.0
55.77609136,00:58.1
49.40148296,00:58.2
79.06623274,00:58.3
56.51647236,00:58.4
58.77686861,00:58.5
55.77609136,00:58.6
55.77609136,00:58.7
63.47687576,00:58.8
53.59380111,00:58.9
55.77609136,00:59.0
58.01683237,00:59.1
55.77609136,00:59.2
52.87922657,00:59.3
56.51647236,00:59.4
58.77686861,00:59.5
58.77686861,00:59.6
73.61537801,00:59.7
61.09674558,00:59.8
57.26337649,00:59.9
151.8966836,01:00.0
70.12433541,01:00.1
42.2942708,01:00.2
44.15993134,01:00.3
49.40148296,01:00.4
58.77686861,01:00.5
59.54351382,01:00.6
60.3167966,01:00.7
50.77366903,01:00.8
56.51647236,01:00.9
55.0422049,01:01.0
54.31478435,01:01.1
51.46918914,01:01.2
56.51647236,01:01.3
61.09674558,01:01.4
59.54351382,01:01.5
60.3167966,01:01.6
61.09674558,01:01.7
60.3167966,01:01.8
59.54351382,01:01.9
57.26337649,01:02.0
57.26337649,01:02.1
59.54351382,01:02.2
60.3167966,01:02.3
63.47687576,01:02.4
57.26337649,01:02.5
58.01683237,01:02.6
57.26337649,01:02.7
63.47687576,01:02.8
62.67675655,01:02.9
56.51647236,01:03.0
60.3167966,01:03.1
63.47687576,01:03.2
58.01683237,01:03.3
34.28012779,01:03.4
65.91803161,01:03.5
46.73172639,01:03.6
137.9703073,01:03.7
33.75003219,01:03.8
102.4483323,01:03.9
72.73200296,01:04.1
60.3167966,01:04.1
80.94124407,01:04.2
60.3167966,01:04.3
46.07966526,01:04.4
46.73172639,01:04.5
26.44175667,01:04.6
55.0422049,01:04.7
88.73769163,01:04.9
82.84566674,01:05.0
67.57975347,01:05.0
83.80897885,01:05.1
52.87922657,01:05.3
49.40148296,01:05.4
58.77686861,01:05.4
55.0422049,01:05.6
48.72475979,01:05.7
52.17103212,01:05.8
28.27523544,01:05.8
56.51647236,01:06.0
47.38991012,01:06.1
64.2837756,01:06.1
54.31478435,01:06.3
70.98651026,01:06.4
65.91803161,01:06.5
61.09674558,01:06.6
57.26337649,01:06.7
62.67675655,01:06.8
51.46918914,01:06.9
55.77609136,01:07.0
51.46918914,01:07.1
66.74544501,01:07.2
44.15993134,01:07.3
55.77609136,01:07.4
58.01683237,01:07.5
55.0422049,01:07.6
64.2837756,01:07.7
55.77609136,01:07.8
57.26337649,01:07.9
55.77609136,01:08.0
57.26337649,01:08.1
62.67675655,01:08.2
52.87922657,01:08.3
51.46918914,01:08.4
63.47687576,01:08.5
61.09674558,01:08.6
61.88338936,01:08.7
61.09674558,01:08.8
60.3167966,01:08.9
60.3167966,01:09.0
61.09674558,01:09.1
70.98651026,01:09.2
55.77609136,01:09.3
57.26337649,01:09.4
63.47687576,01:09.5
55.77609136,01:09.6
